tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt0100963,King of Beggars,Mo jong yuen So Hak Yee,1992,101,"Action,Comedy,Drama",nm0150906,"nm0150977,nm0150906",6.9,4515
tt0101020,Once a Thief,Chung hang sei hoi,1991,108,"Action,Comedy,Crime",nm0000247,"nm0000247,nm0170504,nm0150929",6.7,7839
tt0101252,29th Street,29th Street,1991,101,"Comedy,Drama",nm0303032,"nm0675887,nm0002082,nm0303032",7.2,3470
tt0101272,The Addams Family,The Addams Family,1991,99,"Comedy,Fantasy",nm0001756,"nm0011623,nm0003031,nm0933733",7.0,198405
tt0101273,The Adjuster,The Adjuster,1991,102,"Comedy,Drama",nm0000382,nm0000382,6.6,3987
tt0101279,The Stranger,Agantuk,1991,97,Drama,nm0006249,nm0006249,8.0,4664
tt0101290,Butterfly Wings,Alas de mariposa,1991,108,"Crime,Drama",nm0048056,"nm0048055,nm0048056",7.0,961
tt0101316,The Lover,L'amant,1992,115,"Biography,Drama,Romance",nm0000269,"nm0243921,nm0102722,nm0000269",6.8,24916
tt0101317,Lovers: A True Story,Amantes,1991,103,"Crime,Drama,Romance",nm0033005,"nm0701966,nm0025117,nm0033005",6.9,3613
tt0101318,The Lovers on the Bridge,Les amants du Pont-Neuf,1991,125,"Drama,Romance",nm0136021,nm0136021,7.6,16802
tt0101373,At Play in the Fields of the Lord,At Play in the Fields of the Lord,1991,189,"Drama,Romance",nm0002199,"nm0560249,nm0140643,nm0002199,nm0665932",6.8,3707
tt0101376,Atlantis,Atlantis,1991,78,"Documentary,Music",nm0000108,\N,6.7,2032
tt0101393,Backdraft,Backdraft,1991,137,"Action,Drama,Mystery",nm0000165,nm0927074,6.7,92420
tt0101410,Barton Fink,Barton Fink,1991,116,"Comedy,Drama,Thriller","nm0001054,nm0001053","nm0001054,nm0001053",7.6,134393
tt0101414,Beauty and the Beast,Beauty and the Beast,1991,84,"Animation,Family,Fantasy","nm0873779,nm0936374","nm0941314,nm0152312,nm0761498,nm0560329,nm0363125,nm0683724,nm0940849,nm0710020,nm0254085,nm0038432,nm0501729,nm0207305,nm0998551,nm3343855",8.0,499947
tt0101428,La belle noiseuse,La belle noiseuse,1991,238,Drama,nm0729626,"nm0094726,nm10535179,nm0729626,nm0051304",7.5,10325
tt0101429,Divertimento,Divertimento,1992,125,Drama,nm0729626,"nm0094726,nm10535179,nm0729626,nm0051304",7.4,774
tt0101440,Life on a String,Bian zou bian chang,1991,110,"Drama,Music,Romance",nm0155280,"nm0155280,nm0793023",6.9,733
tt0101458,Until the End of the World,Bis ans Ende der Welt,1991,287,"Action,Drama,Sci-Fi",nm0000694,"nm0137020,nm0000694,nm0231652,nm0021899",6.8,12248
tt0101465,Black Robe,Black Robe,1991,101,"Adventure,Drama,War",nm0000915,nm0600972,7.1,8142
tt0101490,To Be Number One,Bai Ho,1991,136,"Action,Biography,Crime",nm0690952,"nm0404837,nm0496779,nm0157343,nm0538332,nm0803314",7.2,772
tt0101507,Boyz n the Hood,Boyz n the Hood,1991,112,"Crime,Drama",nm0005436,nm0005436,7.8,165545
tt0101516,Bugsy,Bugsy,1991,136,"Biography,Crime,Drama",nm0001469,"nm0864812,nm0421135",6.8,32739
tt0101526,Children of Nature,Börn náttúrunnar,1991,82,"Drama,Romance",nm0296144,"nm0296144,nm0350270",7.2,1679
tt0101529,Cabeza de Vaca,Cabeza de Vaca,1991,111,"Adventure,Biography,Drama",nm0248420,"nm0248420,nm0638011,nm0733394,nm0792172",6.9,1260
tt0101540,Cape Fear,Cape Fear,1991,128,"Crime,Drama,Thriller",nm0000217,"nm0531792,nm0916139,nm0834338",7.3,237069
tt0101587,City Slickers,City Slickers,1991,113,"Comedy,Western",nm0881038,"nm0304665,nm0541632",6.8,66843
tt0101588,City of Hope,City of Hope,1991,129,"Crime,Drama",nm0000626,nm0000626,7.2,2896
tt0101592,Clearcut,Clearcut,1991,100,"Drama,Horror,Thriller",nm0003794,"nm0446620,nm0287069",7.0,1904
tt0101600,The Dove's Lost Necklace,Le collier perdu de la colombe,1991,86,"Drama,Family,Fantasy",nm0451592,nm0451592,7.0,574
tt0101605,The Commitments,The Commitments,1991,118,"Comedy,Drama,Music",nm0000570,"nm0236486,nm0166074,nm0478588",7.6,41927
tt0101616,Coolie No. 1,Coolie No. 1,1995,143,"Action,Comedy,Romance",nm0223522,"nm0415514,nm0434318",6.6,6171
tt0101632,Csapd le csacsi!,Csapd le csacsi!,1991,80,Comedy,nm0879423,nm0879423,7.7,1349
tt0101640,Raise the Red Lantern,Da hong denglong gaogao gua,1991,125,"Drama,Romance",nm0955443,"nm0867263,nm0955600",8.1,37364
tt0101649,Thalapathi,Thalapathi,1991,157,"Action,Crime,Drama",nm0711745,"nm0711745,nm1391608",8.5,15666
tt0101658,Danzón,Danzón,1991,120,Drama,nm0636979,"nm0636977,nm0636979",6.9,730
tt0101669,Dead Again,Dead Again,1991,107,"Crime,Drama,Mystery",nm0000110,nm0291082,6.8,31638
tt0101698,Defending Your Life,Defending Your Life,1991,112,"Comedy,Drama,Fantasy",nm0000983,nm0000983,7.2,22903
tt0101700,Delicatessen,Delicatessen,1991,99,"Comedy,Crime","nm0001988,nm0000466","nm0000466,nm0001988,nm0012496",7.5,93405
tt0101733,Dil Hai Ki Manta Nahin,Dil Hai Ki Manta Nahin,1991,154,"Adventure,Comedy,Drama",nm0080315,"nm0080327,nm0430816",7.2,4949
tt0101739,The Divine Comedy,A Divina Comédia,1991,140,Drama,nm0210701,"nm0210701,nm0234502,nm0753675,nm0631346,nm15640129",7.1,538
tt0101746,The Doctor,The Doctor,1991,122,Drama,nm0354279,"nm0742126,nm0145781",6.9,6191
tt0101748,Dogfight,Dogfight,1991,94,"Comedy,Drama,Romance",nm0001700,nm0173798,7.3,11025
tt0101761,The Doors,The Doors,1991,140,"Biography,Drama,Music",nm0000231,"nm0415745,nm0000231",7.2,105840
tt0101765,The Double Life of Véronique,La double vie de Véronique,1991,98,"Drama,Fantasy,Music",nm0001425,"nm0001425,nm0682830",7.6,56235
tt0101772,The Boys from St. Petri,Drengene fra Sankt Petri,1991,111,"Drama,War",nm0469273,"nm0720675,nm0469273",7.0,2409
tt0101783,God of Gamblers Part III: Back to Shanghai,Do haap II: Seung Hoi taam do sing,1991,116,"Comedy,Crime,Drama",nm0939147,"nm0939147,nm0311508,nm0477035,nm0628838",6.6,2868
tt0101798,Edward II,Edward II,1991,87,"Drama,History,Romance",nm0418746,"nm0549265,nm0418746,nm0564374,nm0125010",6.8,3296
