tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes,actor,actress,producer
tt0100963,King of Beggars,Mo jong yuen So Hak Yee,1992,101,"Action,Comedy,Drama",nm0150906,"nm0150977,nm0150906",6.9,4515,"nm0159507,nm0159507,nm0628806,nm0160865,nm0482708,nm0910869,nm0150850,nm0155593,nm0939245","nm0156522,nm0151153",nm0803314
tt0101020,Once a Thief,Chung hang sei hoi,1991,108,"Action,Comedy,Crime",nm0000247,"nm0000247,nm0170504,nm0150929",6.7,7839,"nm0002000,nm0000334,nm0160846,nm0874684,nm0398871,nm0628756,nm0996565,nm0939034,nm3062826",nm0161193,"nm0151835,nm0474308"
tt0101252,29th Street,29th Street,1991,101,"Comedy,Drama",nm0303032,"nm0675887,nm0002082,nm0303032",7.2,3470,"nm0001439,nm0000732,nm0675887,nm0001233,nm0438682,nm0014519,nm0543195,nm0493684,nm0031055",nm0443577,nm0674303
tt0101272,The Addams Family,The Addams Family,1991,99,"Comedy,Fantasy",nm0001756,"nm0011623,nm0003031,nm0933733",7.0,198405,"nm0000471,nm0000502,nm0000445,nm0835393,nm0070801","nm0001378,nm0933361,nm0539652,nm0412374,nm0000207",nm0748784
tt0101273,The Adjuster,The Adjuster,1991,102,"Comedy,Drama",nm0000382,nm0000382,6.6,3987,"nm0000480,nm0001999,nm0375959,nm0463778,nm0662730","nm0451376,nm0741388,nm0197714,nm0765313,nm0760373",nm0000382
tt0101279,The Stranger,Agantuk,1991,97,Drama,nm0006249,nm0006249,8.0,4664,"nm0244884,nm0212541,nm4865982,nm0315917,nm0154122,nm0304365,nm0051830,nm10015897","nm0788164,nm0154167","nm0000367,nm0006249,nm0869099"
tt0101290,Butterfly Wings,Alas de mariposa,1991,108,"Crime,Drama",nm0048056,"nm0048055,nm0048056",7.0,961,"nm0885453,nm0087687,nm0554522,nm0552922,nm0643813","nm0613284,nm0305640,nm0889429,nm0845128,nm0215525",
tt0101316,The Lover,L'amant,1992,115,"Biography,Drama,Romance",nm0000269,"nm0243921,nm0102722,nm0000269",6.8,24916,"nm0504899,nm0320481,nm0693799,nm0542091,nm0494231","nm0001506,nm0603402,nm0576928,nm0269096,nm0770301",
tt0101317,Lovers: A True Story,Amantes,1991,103,"Crime,Drama,Romance",nm0033005,"nm0701966,nm0025117,nm0033005",6.9,3613,"nm0764450,nm0148792,nm0148795,nm0490288,nm0306498,nm0097427","nm0000721,nm0893941,nm0260232,nm0013807",
tt0101318,The Lovers on the Bridge,Les amants du Pont-Neuf,1991,125,"Drama,Romance",nm0136021,nm0136021,7.6,16802,"nm0491777,nm0345046,nm0489163,nm0078029,nm0078029,nm1174954,nm0888905","nm0000300,nm0821637,nm0078028,nm0078028,nm0778568",nm0269992
